186
1	1	1.000000000000e+00
1	15	1.733886131190e-01
1	21	3.909378023237e-01
2	2	1.000000000000e+00
2	12	8.313797428391e-01
2	18	8.033643916024e-01
2	21	6.047117916989e-02
2	32	3.992577706136e-01
3	3	1.000000000000e+00
3	22	5.268758305083e-01
4	4	1.416799467931e+00
4	6	6.568598909737e-01
4	18	6.279733591901e-01
4	25	2.919840799617e-01
4	27	4.316511702487e-01
4	28	1.548712563602e-02
4	39	9.840637243792e-01
5	2	1.671684099147e-01
5	5	1.000000000000e+00
5	6	1.062163449287e-01
5	33	3.724097400555e-01
5	34	1.981184025430e-01
6	5	4.896876380160e-01
6	6	1.000000000000e+00
6	7	3.394934133908e-01
6	10	9.516304647777e-01
6	11	9.203320398366e-01
6	19	5.267699768079e-02
6	20	7.378580955170e-01
6	25	2.691194263986e-01
7	2	4.228356150088e-01
7	4	5.478709012148e-01
7	7	1.000000000000e+00
7	10	9.427369842769e-01
7	29	4.177441043167e-01
8	8	1.000000000000e+00
8	12	9.830524664699e-01
8	15	3.014549487121e-01
8	29	7.010987559009e-01
8	36	6.663388515844e-01
9	9	1.000000000000e+00
9	18	5.391264650429e-01
10	6	6.981055201803e-01
10	10	1.000000000000e+00
10	20	6.665279134026e-01
10	29	1.781324544003e-01
10	33	1.280143997202e-01
11	2	9.990803947614e-01
11	11	1.171121066356e+00
11	13	3.260082053053e-02
11	14	5.611997927097e-01
11	17	8.818665004518e-01
11	33	6.691753045344e-01
11	37	1.904332671800e-01
12	9	3.689165460639e-01
12	12	1.000000000000e+00
12	20	4.607259372604e-01
12	30	9.816379509707e-01
12	38	1.564049522266e-01
13	13	1.000000000000e+00
13	21	8.555228058459e-01
13	37	6.447645368701e-01
14	5	3.762722102788e-01
14	7	1.909236952363e-01
14	14	1.000000000000e+00
14	18	4.282529929794e-01
14	40	4.820220610319e-01
15	2	1.206116132972e-01
15	4	5.895074846951e-01
15	15	1.000000000000e+00
16	10	2.261876797527e-01
16	16	1.384619124369e+00
16	26	5.829863827477e-01
16	35	2.518061224723e-01
17	17	1.000000000000e+00
17	21	2.904406642770e-01
17	26	6.170908843932e-01
17	27	2.652809098100e-01
18	8	8.243762666888e-01
18	18	1.000000000000e+00
18	26	9.826633997220e-01
18	36	7.302487922676e-01
19	5	3.438770041150e-01
19	16	5.840693332785e-01
19	19	1.000000000000e+00
19	21	1.077690152437e-01
20	1	9.063081506497e-01
20	8	8.796537244819e-01
20	19	8.177605593706e-01
20	20	1.000000000000e+00
20	33	2.607279990555e-01
20	38	5.943562506643e-01
21	3	2.251259274023e-02
21	18	4.252593202141e-01
21	21	1.000000000000e+00
22	2	3.127188868206e-01
22	18	1.614847443117e-01
22	21	1.787661867524e-01
22	22	1.000000000000e+00
22	32	4.228856891001e-01
22	36	9.422933888773e-02
22	39	5.985236687567e-01
23	19	4.709242563583e-01
23	23	1.000000000000e+00
23	28	6.959493133016e-01
24	10	6.998878499283e-01
24	24	1.000000000000e+00
24	29	6.385307582718e-01
24	33	3.360383606643e-02
25	11	6.880609911805e-02
25	17	3.195997351805e-01
25	25	1.000000000000e+00
25	28	5.308642806941e-01
26	4	6.544457077571e-01
26	23	4.076191970412e-01
26	26	1.000000000000e+00
27	19	8.199812227819e-01
27	22	7.183589432059e-01
27	27	1.000000000000e+00
27	28	9.686493302311e-01
27	32	5.313339065657e-01
28	6	3.251456818206e-01
28	8	1.056292033290e-01
28	13	6.109586587462e-01
28	21	7.788022418241e-01
28	28	1.423452918963e+00
29	25	9.082328578744e-02
29	29	1.000000000000e+00
29	38	2.664714907791e-01
30	15	1.536567175913e-01
30	29	2.810053025339e-01
30	30	1.000000000000e+00
31	8	4.400851390017e-01
31	13	5.271427417607e-01
31	20	4.574243656877e-01
31	24	8.753715986042e-01
31	31	1.000000000000e+00
31	33	5.180521083611e-01
32	10	9.436226245484e-01
32	22	6.377090980722e-01
32	26	9.576939398416e-01
32	32	1.000000000000e+00
32	36	2.407070354802e-01
33	2	6.761223038638e-01
33	13	2.890645716745e-01
33	24	6.718081654142e-01
33	25	6.951404995517e-01
33	32	6.799276847001e-02
33	33	1.000000000000e+00
33	37	2.547901565970e-01
34	11	2.240400308242e-01
34	24	6.678327270137e-01
34	30	8.443921565272e-01
34	34	1.000000000000e+00
34	37	3.444624113010e-01
35	3	7.805196527314e-01
35	25	6.753320657470e-01
35	35	1.000000000000e+00
35	40	6.715314318477e-03
36	36	1.000000000000e+00
36	37	6.021704875818e-01
37	10	3.867711945210e-01
37	16	9.159912441314e-01
37	17	1.151057129107e-03
37	30	4.624491592423e-01
37	32	4.243490398154e-01
37	34	4.609163660290e-01
37	37	1.000000000000e+00
37	38	7.701597286086e-01
37	39	3.224718071868e-01
38	8	7.847392947607e-01
38	9	4.713571537106e-01
38	20	3.576273326912e-02
38	26	1.758744156835e-01
38	38	1.000000000000e+00
39	3	7.217580333911e-01
39	10	4.734859929653e-01
39	15	1.527212004382e-01
39	19	3.411246070491e-01
39	24	6.073892137683e-01
39	30	1.917452554618e-01
39	33	7.384268399769e-01
39	39	1.000000000000e+00
39	40	2.428495983182e-01
40	14	9.174243420494e-01
40	40	1.000000000000e+00
